gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RevenueScore,AvgMonthlySpend,TenureGroup,Cluster,CustomerSegment,ChurnProbability,RiskLevel,Recommendation
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,552.0,48.03181818181818,New,2,Growing Customers,0.15588244001832116,Low,Monitor onboarding progress
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,1891.05,84.67727272727274,Growing,3,At-Risk High-Value Customers,0.48076871693488565,Low,Monitor usage patterns
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,39.65,19.825,New,2,Growing Customers,0.7801908598467459,High,Welcome offer and proactive support outreach
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,237.6,15.557692307692308,New,2,Growing Customers,0.06637437741782706,Low,Monitor onboarding progress
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,20.15,10.075,New,2,Growing Customers,0.20322125874994812,Low,Monitor onboarding progress
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,3474.2,59.40847457627118,Loyal,0,Loyal Customers,0.020813357170896253,Low,Upsell premium services
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,2920.4,59.406000000000006,Loyal,0,Loyal Customers,0.0341482276771086,Low,Upsell premium services
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,1659.0,49.37419354838709,Established,3,At-Risk High-Value Customers,0.10579949436273037,Low,Monitor usage patterns
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,4669.45,98.940625,Established,1,Premium Customers,0.44950151584647186,Low,VIP rewards and premium engagement
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,30.2,15.1,New,2,Growing Customers,0.5020389560250894,Medium,Personalized onboarding and engagement
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,6498.0,87.2527397260274,Loyal,1,Premium Customers,0.021214166793041694,Low,VIP rewards and premium engagement
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,1099.9,60.727777777777774,Growing,3,At-Risk High-Value Customers,0.28471787600028886,Low,Monitor usage patterns
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,6840.849999999999,93.98541666666668,Loyal,1,Premium Customers,0.03293049219192727,Low,VIP rewards and premium engagement
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,191.0,60.55,New,3,At-Risk High-Value Customers,0.844167353219162,High,Immediate retention campaign and discount
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,1786.0500000000002,66.94464285714285,Established,3,At-Risk High-Value Customers,0.02370899740604325,Low,Monitor usage patterns
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,20.2,10.1,New,2,Growing Customers,0.1972628825871048,Low,Monitor onboarding progress
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,45.25,22.625,New,2,Growing Customers,0.4276941724241153,Low,Monitor onboarding progress
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,7192.8,99.33835616438355,Loyal,1,Premium Customers,0.021905161703461618,Low,VIP rewards and premium engagement
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,348.5,52.81666666666666,New,3,At-Risk High-Value Customers,0.6851289158855939,Medium,Targeted engagement campaign
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,3440.8,75.49574468085106,Established,1,Premium Customers,0.216491153529372,Low,VIP rewards and premium engagement
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,3615.9,101.40714285714286,Established,1,Premium Customers,0.5800827549841606,Medium,Personalized retention offer and account review
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,1076.35,92.11666666666667,New,3,At-Risk High-Value Customers,0.7119988934497423,Medium,Targeted engagement campaign
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,495.5,43.24545454545454,New,2,Growing Customers,0.09956345852454723,Low,Monitor onboarding progress
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,4844.0,68.62464788732395,Loyal,1,Premium Customers,0.016113450915699705,Low,VIP rewards and premium engagement
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,352.75,23.23611111111111,Growing,2,Growing Customers,0.03293386998749736,Low,Monitor onboarding progress
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,5030.549999999999,75.96015625,Loyal,1,Premium Customers,0.018206593043176848,Low,VIP rewards and premium engagement
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,990.6,70.10357142857143,Growing,3,At-Risk High-Value Customers,0.27268458063589,Low,Monitor usage patterns
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,4140.5,78.134,Loyal,1,Premium Customers,0.5152148473869936,Medium,Personalized retention offer and account review
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,98.5,32.333333333333336,New,2,Growing Customers,0.32275398322261967,Low,Monitor onboarding progress
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,161.3,48.05,New,3,At-Risk High-Value Customers,0.8193661912320295,High,Immediate retention campaign and discount
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4147.0,79.5811320754717,Loyal,1,Premium Customers,0.03634395867614195,Low,VIP rewards and premium engagement
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,4426.35,60.77285714285715,Loyal,1,Premium Customers,0.01073415074369168,Low,VIP rewards and premium engagement
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,3880.75,87.24431818181819,Established,1,Premium Customers,0.47239161904570987,Low,VIP rewards and premium engagement
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1486.5,89.15,Growing,3,At-Risk High-Value Customers,0.43163454536692414,Low,Monitor usage patterns
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,1737.5,67.40961538461539,Established,3,At-Risk High-Value Customers,0.206456234462432,Low,Monitor usage patterns
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,645.2,70.36666666666666,New,3,At-Risk High-Value Customers,0.6223995491987037,Medium,Targeted engagement campaign
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,4491.0,73.05491803278689,Loyal,1,Premium Customers,0.02883076232542287,Low,VIP rewards and premium engagement
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1718.1,92.23947368421052,Growing,3,At-Risk High-Value Customers,0.7137758343319128,Medium,Targeted engagement campaign
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,6277.950000000001,98.6125,Loyal,1,Premium Customers,0.16030763814699422,Low,VIP rewards and premium engagement
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,7157.7,105.61716417910448,Loyal,1,Premium Customers,0.2366041875645463,Low,VIP rewards and premium engagement
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,848.3,25.55142857142857,Established,2,Growing Customers,0.013321800214050385,Low,Monitor onboarding progress
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,7740.0,107.58493150684932,Loyal,1,Premium Customers,0.077184054670288,Low,VIP rewards and premium engagement
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,4723.5,98.06458333333336,Established,1,Premium Customers,0.5393052477962096,Medium,Personalized retention offer and account review
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,5394.0,89.35573770491803,Loyal,1,Premium Customers,0.3181814582965009,Low,VIP rewards and premium engagement
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,3031.2000000000003,40.57534246575342,Loyal,0,Loyal Customers,0.009901174788416367,Low,Upsell premium services
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,979.2,50.37368421052632,Growing,2,Growing Customers,0.07235171551459917,Low,Monitor onboarding progress
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,849.6,85.725,New,3,At-Risk High-Value Customers,0.7212499565982113,Medium,Targeted engagement campaign
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,225.9,61.025,New,3,At-Risk High-Value Customers,0.4924474867238696,Low,Monitor usage patterns
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,3708.3,76.04895833333333,Established,1,Premium Customers,0.20982278279981387,Low,VIP rewards and premium engagement
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,2455.2000000000003,78.0375,Established,3,At-Risk High-Value Customers,0.030771607051285635,Low,Monitor usage patterns
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,1007.5,18.25294117647059,Loyal,0,Loyal Customers,0.0073149742397613975,Low,Upsell premium services
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,798.5,80.66818181818182,New,3,At-Risk High-Value Customers,0.37493892934804385,Low,Monitor usage patterns
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,49.05,24.525,New,2,Growing Customers,0.34295263316651164,Low,Monitor onboarding progress
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,1060.8,20.578301886792456,Loyal,0,Loyal Customers,0.0300878512272259,Low,Upsell premium services
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,7142.4,109.21538461538462,Loyal,1,Premium Customers,0.07116103158149241,Low,VIP rewards and premium engagement
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,1503.5,22.61269841269841,Loyal,0,Loyal Customers,0.01080952858074802,Low,Upsell premium services
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,193.5,44.35,New,3,At-Risk High-Value Customers,0.2937535541649845,Low,Monitor usage patterns
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,6188.0,107.71052631578948,Loyal,1,Premium Customers,0.2191051741768882,Low,VIP rewards and premium engagement
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,2559.9,57.2095744680851,Established,0,Loyal Customers,0.04392249612951407,Low,Upsell premium services
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,437.2,53.583333333333336,New,2,Growing Customers,0.12661545153506806,Low,Monitor onboarding progress
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,2242.5,68.10645161290323,Established,3,At-Risk High-Value Customers,0.26804113855478123,Low,Monitor usage patterns
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,1165.5,26.44782608695652,Established,0,Loyal Customers,0.029028724188981996,Low,Upsell premium services
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,79.35,39.675,New,3,At-Risk High-Value Customers,0.8282332892692704,High,Immediate retention campaign and discount
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,556.05,47.1125,New,2,Growing Customers,0.40798101693977745,Low,Monitor onboarding progress
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,526.0500000000001,62.1125,New,3,At-Risk High-Value Customers,0.57190058052461,Medium,Targeted engagement campaign
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,4359.599999999999,100.63953488372093,Established,1,Premium Customers,0.2884210176371417,Low,VIP rewards and premium engagement
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,987.35,19.467,Loyal,0,Loyal Customers,0.01331048830360623,Low,Upsell premium services
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,893.6999999999999,91.875,New,3,At-Risk High-Value Customers,0.6860223108813492,Medium,Targeted engagement campaign
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2175.25,61.540277777777774,Established,0,Loyal Customers,0.06454900562182744,Low,Upsell premium services
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,991.2,21.571428571428573,Established,0,Loyal Customers,0.005643097029104663,Low,Upsell premium services
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,917.7,19.72553191489362,Established,0,Loyal Customers,0.009367922489173239,Low,Upsell premium services
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,978.75,33.641666666666666,Established,2,Growing Customers,0.25585902286567996,Low,Monitor onboarding progress
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2461.5,82.90967741935484,Established,3,At-Risk High-Value Customers,0.17514867435704026,Low,Monitor usage patterns
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,74.7,37.35,New,3,At-Risk High-Value Customers,0.7155989208002684,Medium,Targeted engagement campaign
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,5544.0,85.28731343283582,Loyal,1,Premium Customers,0.024214155897740543,Low,VIP rewards and premium engagement
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,7218.25,107.6818181818182,Loyal,1,Premium Customers,0.2897180744114323,Low,VIP rewards and premium engagement
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,7264.8,102.17876712328768,Loyal,1,Premium Customers,0.10397849900687503,Low,VIP rewards and premium engagement
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,947.4,71.33461538461539,New,3,At-Risk High-Value Customers,0.5780826337592203,Medium,Targeted engagement campaign
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,4746.349999999999,65.95416666666667,Loyal,1,Premium Customers,0.018244285219434993,Low,VIP rewards and premium engagement
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,105.25,18.975,New,2,Growing Customers,0.14759040270487792,Low,Monitor onboarding progress
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,1092.0,20.89056603773585,Loyal,0,Loyal Customers,0.007844119057281527,Low,Upsell premium services
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,2462.5,96.71153846153848,Established,3,At-Risk High-Value Customers,0.5882897467821208,Medium,Targeted engagement campaign
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,20.2,10.1,New,2,Growing Customers,0.2030996324432488,Low,Monitor onboarding progress
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,19.45,9.725,New,2,Growing Customers,0.22721437068066186,Low,Monitor onboarding progress
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,3610.0,92.45128205128204,Established,1,Premium Customers,0.15334684949809776,Low,VIP rewards and premium engagement
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,3006.3,45.18283582089552,Loyal,0,Loyal Customers,0.059611689468888875,Low,Upsell premium services
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,7480.0,110.31666666666668,Loyal,1,Premium Customers,0.08540956687644922,Low,VIP rewards and premium engagement
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,121.5,16.7,New,2,Growing Customers,0.4251985697432196,Low,Monitor onboarding progress
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,7498.8,100.0417808219178,Loyal,1,Premium Customers,0.1675845005588694,Low,VIP rewards and premium engagement
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,964.8,28.11060606060606,Established,2,Growing Customers,0.06667768584943941,Low,Monitor onboarding progress
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,4057.05,89.12045454545455,Established,1,Premium Customers,0.23724935889591633,Low,VIP rewards and premium engagement
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,1396.8,18.67465753424657,Loyal,0,Loyal Customers,0.0033884346787175154,Low,Upsell premium services
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,5321.25,93.55178571428571,Loyal,1,Premium Customers,0.3537471575333137,Low,VIP rewards and premium engagement
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,3013.4,57.40094339622642,Loyal,0,Loyal Customers,0.02143334470548857,Low,Upsell premium services
